Seasons,Hours of Performance,Rating,House,Name,Size,Parfumo Rating,Notes,Accords,Genre,Silliage,Sprays,Perfumer,Comments
Hot,,0,Scented Water,Burnt Flower (Dior Oud Ispahan),2,7.6,"Top note : Labdanum - Middle notes : Rose, Patchouli and Saffron - Base notes : Agarwood (Oud), Sandalwood and Cedar.",woody-floral,,,,,
Hot,,0,Scented Water,Celestial Dreams,100,?,"Top note : Lemon - Middle notes : Rose de Mai, Violet, Ylang-Ylang, Geranium and Jasmine - Base notes : Agarwood (Oud), Powdery Notes, Ambergris, Almond, Sandalwood, Vanilla, Rhubarb, Musk, Patchouli, Orris and Saffron.",?,,,,,
Hot,,0,Scented Water,Citrus Whisper (LV L'Immensite),100,8.1,"Top notes : Grapefruit, Ginger and Bergamot - Middle notes : Water Notes, Rosemary, Sage and Geranium - Base notes : Ambroxan, Amber and Labdanum.",fresh-citrusy,,,,,
Hot,,0,Scented Water,Monarque (Boadicea Valiant),2,8.4,"Top notes : Ylang-Ylang, Petitgrain, Mandarin Orange, Orange and Grapefruit - Middle notes : Orange Blossom, Orris, Cherry Blossom, Neroli and Indian Jasmine - Base notes : Vanilla, Tonka Bean, Amber, Sandalowood and Patchouli.",floral-sweet,,,,,
Any,,0,Scented Water,Opportunity (Chanel Chance),100,7.2,"Top note : Pink Pepper Middle notes : Jasmine and Iris Base notes : Patchouli, Musk and Vanilla.",floral-fresh,,,,,
Hot,,0,Scented Water,Scarlet Myth (Boadicea Aurica),2,7.3,"Top notes : Pineapple, Cedar Needles, Mandarin Orange and Ylang-Ylang - Middle notes : Cambodian Oud, Marigold, Jasmine and Rose - Base notes : Musk, Vetiver, Patchouli, Sandalwood, Vanilla, Moss and Amber.",fruity-sweet,,,,,
Any,4,7.75,ScentHype,F'eau Sauvage,10,?,"Top: lemon, bergamot, rosemary, basil Heart: jasmine, lavender, patchouli, sandalwood Base: vetiver, oak moss, musk   ",,Fougere,,,,Light scent smells alright
Cold,6,8,Serge Lutens,Chergui,1,8.1,,spicy-oriental,Spice,2,4,,Great blend quality ingredients honeyes hay with a little tobacco 
Any,3,6.5,Serge Lutens,Iris Silver Mist,6,7.9,,powdery-floral,Powder,3,,,light powder makeup earthy. 
Hot,8,8.25,Sospiro,Vibrato Italy,20,8.8,,citrusy-fresh,Citrus,?,,,Lemon 
Hot,3,8,Swiss Arabian,Pure Instinct,100,7.7,,fresh-woody,Fresh,?,,,YSL Y tamed down
Cold,8,6,Tauer,02 L'Air du Desert Marocain,1,8.5,,spicy-oriental,Spice,3,4,,teriyaki dauce
Cold,12,9,Tom Ford,Amber Absolu,5,8.3,,woody-spicy,Amber,6,3,,
Any,4,8.75,Tom Ford,Beau De Jour Private blend,15,8.2,,fougèreartig-green,Fougere,2,,,Lght spice beautiful scent
Any,2,7.5,Tom Ford,Fougere d'Argent EDP '18,10,8.2,,fougèreartig-spicy,Fougere,1,,,Powdery but too light in the performance department 
Cold,,0,Tom Ford,Fucking Fabulous,1,8,,sweet-spicy,,,,,
Any,,0,Tom Ford,Lavender Extreme 2018,1,8.1,,sweet-floral,Fougere,,,,
Cold,6,8,Tom Ford,Noir de  Noir,5,8.2,,floral-spicy,Floral,4,4,,rose but blended well
Cold,6,8.75,Tom Ford,Ombre Leather EDP,10,8.3,,leathery-spicy,Leather,4,3,Sonia Constant,natural suede
Cold,6,8.5,Tom Ford,Oud Wood,10,8.5,,woody-spicy,Wood,2,,Richard Herpin,
Cold,8,9.25,Tom Ford,Oud Wood Intense,10,8,,woody-leathery,Wood,5,3,,
Cold,8,7.5,Tom Ford,Tobacco Oud Intense,10,8.3,,spicy-woody,Tobacco,2,,,
Cold,6,7.5,Tom Ford ,Patchouli Absolu,10,7.8,,earthy-woody,Patchouli,4,3,,well blended
Hot,,0,Toskovat,Present Gambit (F7),2,6.7,,green-sweet,,,,David-Lev Jipa-Slivinschi,
Any,2,5,Valentino,Uoma Born In Roma,1,7,,sweet-synthetic,Feminine,?,,Antoine Maisondieu and Guillaume Flavigny,
Cold,,2,Valley Spirit ,Foliage,100,?,,woody-spicey,Feminine,,,,smells like room spray 
Any,8,8.5,Versace ,Dylan Blue,110,7.7,,fresh-aquatic,Blue,?,,Alberto Morillas,
Any,8,7.5,Versace ,Eros,10,7.5,,fresh-sweet,Fougere,?,,Aurélien Guichard,Decent drydown. Initial is rough. Beastmode performance 
Hot,7.5,5,Versace ,Eros Energy Pour Homme,1,7.5,,citrusy-fresh,Sweet,?,,,Too sweet
Any,8,8,Versace ,Eros Flame,10,7.7,,sweet-spicy,Vanilla,?,,Olivier Pescheux,
Any,3,7.5,Versace ,The Dreamer,100,7.6,,floral-sweet,Fresh,1,,,get out of the shower frag gone in an hour
Cold,3,6.5,Viktor & Rolf,Spicebomb Dark Leather,1,7.7,,leathery-spicy,Leather,1,,,Great but doesn't last
Hot,12,9.5,Xerjoff ,40 Knots,5,8.5,,aquatic-sweet,Aquatic,4,,,Amazing. Non-linear. Powdery 
Cold,4,6,Xerjoff ,Alexandria II,2,8.7,,oriental-woody,Animalic,2,,Chris Maurice,Animalic at the start turn powdery and close to skin
Any,,8,Xerjoff ,Homme Anniversary ,2,8.7,,leathery-citrusy,Leather,?,,,No performance 
Hot,6,8.25,Xerjoff ,Mefisto,100,7.9,,citrusy-fresh,Fresh,2,4,,
Hot,4,8.25,Xerjoff ,Mefisto Gentluomo,2,8.1,,fresh-citrusy,Fresh,?,,,
Cold,8,8,Xerjoff ,Naxos,10,8.9,,sweet-spicy,Fresh,?,,,
Cold,5,7,Xerjoff ,Tony Iommi Monkey Special,2,8.4,,spicy-sweet,Spice,4,,Chris Maurice,Sweet and boozy. tells a story. masterful blend but too sweet and skin scent at 3 hours
Hot,8,8.5,Xerjoff ,Torino 21,2,8.6,,fresh-citrusy,Fresh,4,8,citrus at the start and then green at drydown,
Hot,4,7.5,Xerjoff ,XJ 1861 Renaissance EDP,2,8.1,,citrusy-fresh,Citrus,2,6,,Lemony fresh
Cold,,8.5,Xerjoff ,Zefiro,10,7.9,,spicy-smoky,Spice,3,3,Mathieu Nardin,incense but fresh and brighter than Amouage
Cold,8,8.5,Yves Saint Lauren,Babycat ,10,8.3,,sweet-smoky,Vanilla,3,,Dominique Ropion and Claire Liégent,
Cold,8,8.5,Yves Saint Lauren,Babycat Raw Bourbon,10,8.3,,sweet-smoky,Spice,?,,Dominique Ropion,
Any,8,8.5,Yves Saint Lauren,Myslf Absolu ,10,7.2,,fresh-floral,Fresh,?,,Christophe Raynaud,
Hot,1,7,Yves Saint Lauren,Myslf EDP,10,7.3,,fresh-synthetic,Floral,0,,"Christophe Raynaud, Antoine Maisondieu and Daniela Andrier",No performance and quite floral
Any,8,7,Yves Saint Lauren,Myslf Parfum,10,7.7,,sweet-floral,Floral,?,,"Daniela Andrier, Antoine Maisondieu and Christophe Raynaud",Floral only 
Cold,6,8.75,Yves Saint Lauren,Tuxedo (white label),20,8.5,,spicy-woody,Vanilla,4,6,Juliette Karagueuzoglou,
Any,6,9,Yves Saint Lauren,Tuxedo Sharp Patchouli,15,8.5,,spicy-woody,Vanilla,4,6,,not as much patchouli 
Any,8,9,Yves Saint Lauren,Y EDP,60,7.5,,fresh-sweet,Fresh,8,,Dominique Ropion and Claire Liégent,
Any,8,9,Yves Saint Lauren,Y EDP Intense,100,7,,fresh-synthetic,Fresh,8,1,Dominique Ropion and Claire Liégent,
Any,10,9,Yves Saint Lauren,Y Elixir,100,6.7,,fresh-synthetic,Fresh,4,,Dominique Ropion,More elegant than EDP but not as loud
Any,8,9.25,Yves Saint Lauren,Y Le Parfum (black label),110,7.4,,synthetic-fresh,Fresh,6,,Dominique Ropion and Claire Liégent,EDP in a Tuxedo. 
Any,6,8,Yves Saint Lauren,Y Le Parfum 2025,1,7.2,,woody-fresh,Wood,3,,Dominique Ropion,
